uwYear,gender,carType,carCat,job,age,nYears,carVal,cover,density,claimNumbMD
2009,Male,C,Large,Employed,25,3,15080,0,72.01288299,1
2009,Male,E,Large,Employed,20,2,22370,1,39.55041059,1
2009,Female,E,Large,Unemployed,42,0,39650,0,169.5291484,1
2009,Female,C,Medium,Housewife,21,0,12600,1,58.89468755,1
2009,Female,D,Large,Employed,33,10,9065,0,109.6318854,1
2009,Female,D,Small,Employed,26,7,27335,1,47.98269849,1
2009,Female,C,Small,Unemployed,20,13,7710,0,77.73738533,1
2009,Female,B,Medium,Employed,29,12,8965,0,272.9669948,1
2009,Male,E,Medium,Unemployed,31,10,21030,1,251.432848,1
2009,Male,D,Medium,Employed,35,1,19995,1,144.998902,1
2009,Male,C,Small,Employed,27,0,18395,0,166.5549379,1
2009,Female,A,Large,Housewife,65,15,11880,0,223.3085718,1
2009,Female,A,Medium,Unemployed,25,2,23130,0,107.8170529,1
2009,Male,D,Small,Unemployed,24,8,15680,0,32.9239514,1
2009,Male,D,Small,Employed,21,0,33920,0,102.818883,1
2009,Female,A,Small,Employed,29,0,11370,0,32.2125563,1
2009,Male,D,Small,Unemployed,22,6,23130,0,285.6217445,1
2009,Female,D,Large,Unemployed,21,5,8695,0,112.4047945,1
2009,Male,A,Small,Self-employed,18,2,11925,0,297.3851697,1
2009,Male,D,Large,Employed,34,3,4190,0,31.49128874,1
2009,Male,B,Small,Employed,41,1,5020,0,62.06252553,1
2009,Female,A,Medium,Housewife,41,0,24940,1,272.9669948,1
2009,Male,B,Small,Unemployed,25,12,48945,0,190.0515645,1
2009,Female,E,Small,Employed,29,7,1525,0,225.0430894,1
2009,Male,A,Small,Self-employed,47,12,18480,1,129.4194752,1
2009,Female,C,Large,Employed,47,7,8690,0,290.1327193,1
2009,Female,B,Medium,Unemployed,35,0,6115,1,88.89623143,1
2009,Female,A,Medium,Housewife,46,4,11965,0,249.7835716,1
2009,Male,A,Small,Housewife,29,7,19990,1,28.61559614,1
2009,Male,C,Medium,Retired,69,12,27715,1,205.4307964,1
2009,Male,A,Medium,Unemployed,43,11,14330,1,259.0040603,1
2009,Female,B,Large,Retired,61,14,12555,1,284.9991194,1
2009,Male,C,Large,Unemployed,20,8,18530,0,25.83086908,1
2009,Female,A,Medium,Employed,50,0,21935,1,144.998902,1
2009,Male,B,Medium,Employed,25,1,29030,0,51.09148195,1
2009,Male,C,Large,Employed,25,3,15080,0,72.01288299,1
2009,Male,E,Large,Employed,20,2,22370,1,39.55041059,1
2009,Female,E,Large,Unemployed,42,0,39650,0,169.5291484,1
2009,Female,C,Medium,Housewife,21,0,12600,1,58.89468755,1
2009,Female,D,Large,Employed,33,10,9065,0,109.6318854,1
2009,Female,D,Small,Employed,26,7,27335,1,47.98269849,1
2009,Female,C,Small,Unemployed,20,13,7710,0,77.73738533,1
2009,Female,B,Medium,Employed,29,12,8965,0,272.9669948,1
2009,Male,E,Medium,Unemployed,31,10,21030,1,251.432848,1
2009,Male,D,Medium,Employed,35,1,19995,1,144.998902,1
2009,Male,C,Small,Employed,27,0,18395,0,166.5549379,1
2009,Female,A,Large,Housewife,65,15,11880,0,223.3085718,1
2009,Female,A,Medium,Unemployed,25,2,23130,0,107.8170529,1
2009,Male,D,Small,Unemployed,24,8,15680,0,32.9239514,1
2009,Male,D,Small,Employed,21,0,33920,0,102.818883,1
2009,Female,A,Small,Employed,29,0,11370,0,32.2125563,1
2009,Male,D,Small,Unemployed,22,6,23130,0,285.6217445,1
2009,Female,D,Large,Unemployed,21,5,8695,0,112.4047945,1
2009,Male,A,Small,Self-employed,18,2,11925,0,297.3851697,1
2009,Male,D,Large,Employed,34,3,4190,0,31.49128874,1
2009,Male,B,Small,Employed,41,1,5020,0,62.06252553,1
2009,Male,B,Medium,Employed,48,12,18335,0,76.50537468,1
2009,Male,A,Small,Employed,21,4,6050,1,66.94554904,1
2009,Male,A,Large,Employed,27,0,27630,0,169.5291484,1
2009,Female,A,Large,Self-employed,47,3,41845,0,270.7883545,1
2009,Male,B,Medium,Self-employed,51,3,27000,0,45.66982293,1
2009,Male,C,Medium,Housewife,38,0,26040,0,57.7002938,1
2009,Male,B,Medium,Employed,45,14,18035,1,51.09148195,1
2009,Male,A,Small,Housewife,23,7,44645,0,223.3475567,1
2009,Female,B,Small,Housewife,35,3,14015,1,33.96774033,1
2009,Male,D,Large,Unemployed,23,15,7445,0,31.98800317,1
2009,Male,C,Small,Employed,35,2,7825,0,27.01981982,1
2009,Male,D,Medium,Unemployed,22,7,10325,0,121.5870219,1
2009,Male,A,Medium,Employed,22,3,6185,1,171.3729361,1
